S,B,layer,kernel,count,mean_us
32,1,conv1_7x7_s2,"void implicit_convolve_sgemm<float, float, 128, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, bool, int, int)",1,19.3603515625
32,1,conv2_5x5,"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, float2, float2, float2, float2, false, true, true, false, 5, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float2 const>, cublasGemvTensorStridedBatched<float2 const>, cublasGemvTensorStridedBatched<float2>, float2> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float2 const>, cublasGemvTensorStridedBatched<float2 const>, cublasGemvTensorStridedBatched<float2>, float2>)",1,11.072265625
32,1,conv2_5x5,"void fft2d_c2r_16x16<float, false>(float*, float2*, int, int, int, int, int, int, int, int, int, int, float, float, int, cudnnActivationStruct, float*, float*)",1,7.935546875
32,1,conv2_5x5,"void fft2d_r2c_16x16<float>(float2*, float const*, int, int, int, int, int, int, int, int)",3,15.136067708333334
32,1,conv2_5x5,"void flip_filter<float, float>(float*, float const*, int, int, int, int)",1,8.2880859375
32,1,conv3_3x3_s2,"void implicit_convolve_sgemm<float, float, 128, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, bool, int, int)",1,57.34375
32,1,conv4_1x1,volta_sgemm_32x32_sliced1x4_nn,1,11.19921875
32,1,conv5_3x3_s2,"void implicit_convolve_sgemm<float, float, 128, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, bool, int, int)",1,219.8056640625
32,1,conv6_1x1,volta_sgemm_32x32_sliced1x4_nn,1,17.15234375
32,1,fc1,"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, float, float, float, float, false, true, true, false, 7, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",1,6.49609375
