S,B,status,latency_s,memory_bytes,energy_j,flops_measured,flops_predicted,memory_predicted,is_validation
32,1,ok,0.0007208639979362488,18763776,0.01849748464440429,18450432,18450432.0,4206352.0,0
32,2,ok,0.0006840959787368775,18874368,0.020125642066889483,36900864,36900864.0,4251408.0,0
32,4,ok,0.0006746239960193634,19095552,0.021172911854674938,73801728,73801728.0,4341520.0,0
32,8,ok,0.0006903679966926576,19537920,0.025428903166289894,147603456,147603456.0,4521744.0,0
32,16,ok,0.0006270080208778382,14843904,0.025296314624296063,295206912,295206912.0,4882192.0,0
32,32,ok,0.000708191990852356,15958016,0.029124836850368797,590413824,590413824.0,5603088.0,0
32,64,ok,0.0008039039969444275,18186240,0.040552086392377173,1180827648,1180827648.0,7044880.0,0
32,111,ok,0.00192576003074646,52963840,0.12337946338140279,2047997952,2047997952.0,9162512.0,1
32,128,ok,0.002127135992050171,59342848,0.12299113497094492,2361655296,2361655296.0,9928464.0,0
32,133,ok,0.0022185600996017458,61665280,0.15494652364047323,2453907456,2453907456.0,10153744.0,1
32,139,ok,0.0023094719648361207,62755328,0.14918793555595464,2564610048,2564610048.0,10424080.0,1
32,256,ok,0.003963631987571716,103669760,0.24752833233470034,4723310592,4723310592.0,15695632.0,0
64,1,ok,0.0009351680278778076,23969792,0.050342702346130336,72861696,72861696.0,4341520.0,0
64,2,ok,0.0010154079794883729,24117248,0.0597094977751067,145723392,145723392.0,4521744.0,0
64,4,ok,0.0012109919786453247,24903680,0.05482922797680073,291446784,291446784.0,4882192.0,0
64,8,ok,0.0012181280255317687,17793536,0.03927719317966028,582893568,582893568.0,5603088.0,0
64,16,ok,0.0007010239958763122,19497472,0.0337978500480038,1165787136,1165787136.0,7044880.0,0
64,32,ok,0.000886607974767685,22642688,0.04982869554682197,2331574272,2331574272.0,9928464.0,0
64,64,ok,0.0015226880311965943,32210944,0.08176306182170562,4663148544,4663148544.0,15695632.0,0
64,111,ok,0.0041603360176086426,68098560,0.287241029334717,8087648256,8087648256.0,24166160.0,1
64,128,ok,0.0047360479831695555,76644352,0.3219798805461006,9326297088,9326297088.0,27229968.0,0
64,133,ok,0.004942336082458496,79642624,0.30700393138120025,9690605568,9690605568.0,28131088.0,1
64,139,ok,0.005084511995315552,82199040,0.35734804500290945,10127775744,10127775744.0,29212432.0,1
64,256,ok,0.00919206428527832,138272768,0.6434230448516236,18652594176,18652594176.0,50298640.0,0
80,1,ok,0.000741216003894806,24052736,0.03638102556041179,113670144,113670144.0,4442896.0,1
80,2,ok,0.0007679199874401092,24283136,0.03448572810137426,227340288,227340288.0,4724496.0,1
80,4,ok,0.0007730880081653596,25235456,0.04177257369910739,454680576,454680576.0,5287696.0,1
80,8,ok,0.0007281759977340698,18752000,0.04863135175794898,909361152,909361152.0,6414096.0,1
80,16,ok,0.0008139840066432953,20692992,0.04423835307871668,1818722304,1818722304.0,8666896.0,1
80,32,ok,0.0012557600140571594,27656192,0.07458011512015876,3637444608,3637444608.0,13172496.0,1
80,64,ok,0.0023646880388259886,41582592,0.17024437776238766,7274889216,7274889216.0,22183696.0,1
80,111,ok,0.007006911993026733,79556096,0.4938957755678261,12617385984,12617385984.0,35418896.0,1
80,128,ok,0.007860448122024535,90931200,0.5604036222452813,14549778432,14549778432.0,40206096.0,1
80,133,ok,0.00831164836883545,93150208,0.5659527839479556,15118129152,15118129152.0,41614096.0,1
80,139,ok,0.008567904472351074,96527872,0.5204944590799078,15800150016,15800150016.0,43303696.0,1
80,256,ok,0.015267263889312745,223707136,0.9150845004434067,29099556864,29099556864.0,76250896.0,1
128,1,ok,0.0007807680070400238,24412160,0.04530308427156321,290506752,290506752.0,4882192.0,0
128,2,ok,0.0007683840095996856,17794048,0.03851239452420856,581013504,581013504.0,5603088.0,0
128,4,ok,0.000745600014925003,19497984,0.04701390436419013,1162027008,1162027008.0,7044880.0,0
128,8,ok,0.000957423985004425,22642688,0.04476944643950116,2324054016,2324054016.0,9928464.0,0
128,16,ok,0.0015081599950790407,32210944,0.08815768888767997,4648108032,4648108032.0,15695632.0,0
128,32,ok,0.002877088069915772,49381376,0.17430838923263672,9296216064,9296216064.0,27229968.0,0
128,64,ok,0.005477727890014649,119316480,0.32359877284976635,18592432128,18592432128.0,50298640.0,0
128,111,ok,0.013663423538208009,196878336,0.9677907908972014,32246249472,32246249472.0,84180752.0,1
128,128,ok,0.01565766429901123,223518720,1.0729087063380442,37184864256,37184864256.0,96435984.0,0
128,133,ok,0.016557968139648438,243171328,1.0875042286236094,38637398016,38637398016.0,100040464.0,1
128,139,ok,0.01701571273803711,246710272,1.1966919873003816,40380438528,40380438528.0,104365840.0,1
128,256,ok,0.031393888473510746,431923200,2.1966132982949693,74369728512,74369728512.0,188710672.0,0
208,1,ok,0.0007296800017356872,18340352,0.04680417596344972,766605312,766605312.0,6064912.0,1
208,2,ok,0.0007107359766960143,20590080,0.0370669731369967,1533210624,1533210624.0,7968528.0,1
208,4,ok,0.0011727520227432253,25497600,0.08178648618978424,3066421248,3066421248.0,11775760.0,1
208,8,ok,0.002134768009185791,37265408,0.1315155627408403,6132842496,6132842496.0,19390224.0,1
208,16,ok,0.004035408020019532,61718528,0.29343967847401303,12265684992,12265684992.0,34619152.0,1
208,32,ok,0.006914000034332275,140795904,0.4991572767749655,24531369984,24531369984.0,65077008.0,1
208,64,ok,0.013480800151824951,265650176,0.7941368591931475,49062739968,49062739968.0,125992720.0,1
208,111,ok,0.03465961647033691,450415616,2.35688085440097,85093189632,85093189632.0,215462672.0,1
208,128,ok,0.03935209465026855,514170880,2.763575808334612,98125479936,98125479936.0,247824144.0,1
208,133,ok,0.04220116806030273,559153152,2.6622877544745376,101958506496,101958506496.0,257342224.0,1
208,139,ok,0.04380116844177246,568402944,2.6810026885052927,106558138368,106558138368.0,268763920.0,1
208,256,ok,0.08198123168945312,1013284864,5.766934590273647,196250959872,196250959872.0,491486992.0,1
224,1,ok,0.000729999989271164,18699776,0.03595779397598428,889030656,889030656.0,6369040.0,0
224,2,ok,0.0007949759960174561,21308928,0.05972080332089371,1778061312,1778061312.0,8576784.0,0
224,4,ok,0.0012752159833908081,27377664,0.08005905958990078,3556122624,3556122624.0,12992272.0,0
224,8,ok,0.002423359990119934,41025536,0.14756052455287802,7112245248,7112245248.0,21823248.0,0
224,16,ok,0.004556080102920532,68780032,0.30558748710165207,14224490496,14224490496.0,39485200.0,0
224,32,ok,0.008533567905426025,174673920,0.5102712379027703,28448980992,28448980992.0,74809104.0,0
224,64,ok,0.01646353530883789,335904768,1.1812614110610404,56897961984,56897961984.0,145456912.0,0
224,111,ok,0.04377059364318848,572041216,3.1035704234016506,98682402816,98682402816.0,249220880.0,1
224,128,ok,0.050152463912963866,655458304,3.393809622898972,113795923968,113795923968.0,286752528.0,0
224,133,ok,0.05435587310791016,713443328,3.2904588830039025,118241077248,118241077248.0,297791248.0,1
224,139,ok,0.056117136001586916,725121024,3.642791778492586,123575261184,123575261184.0,311037712.0,1
224,256,ok,0.10404398345947266,1292992512,6.832069667465738,227591847936,227591847936.0,569343760.0,0
256,1,ok,0.001259872019290924,19499008,0.06452269498399485,1161086976,1161086976.0,7044880.0,0
256,2,ok,0.0012112159729003908,22906880,0.07290313311092579,2322173952,2322173952.0,9928464.0,0
256,4,ok,0.0015904479622840882,32210944,0.08220937318104816,4644347904,4644347904.0,15695632.0,0
256,8,ok,0.003069584012031555,49381376,0.18914526301313164,9288695808,9288695808.0,27229968.0,0
256,16,ok,0.005563807964324951,119316480,0.3319124533554357,18577391616,18577391616.0,50298640.0,0
256,32,ok,0.010815967559814453,223518720,0.6601961424677661,37154783232,37154783232.0,96435984.0,0
256,64,ok,0.021112640380859374,431923200,1.4963934114717405,74309566464,74309566464.0,188710672.0,0
256,111,ok,0.05608460807800293,744529920,3.713201750479037,128880654336,128880654336.0,324239120.0,1
256,128,ok,0.0632137908935547,848732160,4.475539773532204,148619132928,148619132928.0,373260048.0,0
256,133,ok,0.06920590591430664,928612352,4.304385109703063,154424567808,154424567808.0,387677968.0,1
256,139,ok,0.07147457504272461,943030272,4.319587316258235,161391089664,161391089664.0,404979472.0,1
256,256,ok,0.13114979553222655,1683062784,8.983009732988682,297238265856,297238265856.0,742358800.0,0
304,1,ok,0.0007363040149211883,20897280,0.05496510738030402,1637185536,1637185536.0,8227600.0,1
304,2,ok,0.0013345119953155518,26779648,0.08539350142189209,3274371072,3274371072.0,12293904.0,1
304,4,ok,0.0023857760429382324,39620608,0.14680855766134898,6548742144,6548742144.0,20426512.0,1
304,8,ok,0.004488703966140747,64004096,0.3077701381269336,13097484288,13097484288.0,36691728.0,1
304,16,ok,0.008004879951477051,153698304,0.46800235200387136,26194968576,26194968576.0,69222160.0,1
